,Unnamed: 0,driver_id,client_id,start,start_latitude,start_longtitude,finish,finish_latitude,finish_longtitude,distance,road_time,start_time,finish_time,cost,driver_rate,category_driver_feedback,text_driver_feedback,client_rate,category_client_feedback,text_client_feedback
46,46,1108,2970,SE9 1XA,51.458965,0.058883,N4 1HW,51.572806,-0.096753,16.65,0 days 00:18:00,2019-03-06 11:03:51,2019-03-06 11:21:51,10.32,,,,,,
47,47,1206,4173,SE25 5GY,51.399524,-0.07999,W4 4GY,51.491534,-0.262587,16.31,0 days 00:12:00,2013-08-23 17:05:47,2013-08-23 17:17:47,10.15,,,,,,
48,48,1613,4334,RM10 7XN,51.548459,0.16194,NW26 9BF,51.530785,-0.13543,20.73,0 days 00:34:00,2015-03-25 14:08:33,2015-03-25 14:42:33,12.36,5.0,,,,,
49,49,2491,450,N9 7PP,51.636989,-0.062361,EN4 9TU,51.652864,-0.155867,6.71,0 days 00:17:00,2012-12-30 03:58:29,2012-12-30 04:15:29,6.96,,,,,,
50,50,709,2389,IG1 1WB,51.55807,0.072373,HA7 1PG,51.599687,-0.301476,26.33,0 days 00:44:00,2010-08-09 23:06:27,2010-08-09 23:50:27,19.71,,,,1.0,unpolite,
51,51,287,361,SM5 2XF,51.36016,-0.153112,W2 3JN,51.512644,-0.186857,17.13,0 days 00:18:00,2013-05-10 01:09:38,2013-05-10 01:27:38,13.73,1.0,,,5.0,neat and tidy,"['quiet', 'recommend', 'polite', 'pleasant']"
52,52,1808,832,NW1 9LX,51.54284,-0.13974,KT6 6BE,51.386816,-0.296205,20.48,0 days 00:24:00,2010-05-21 06:30:18,2010-05-21 06:54:18,15.91,,,,,,
53,53,1867,2785,TW10 7HT,51.436867,-0.311681,W1N 4JH,51.520752,-0.145858,14.83,0 days 00:13:00,2016-07-04 06:00:13,2016-07-04 06:13:13,12.24,,,,,,
54,54,1996,3471,E1 1HB,51.516466,-0.065866,BR1 1DS,51.399768,0.016271,14.18,0 days 00:25:00,2015-08-12 05:24:26,2015-08-12 05:49:26,11.82,,,,4.0,recommend,"['polite', 'quiet', 'recommend', 'neat and tidy', 'pleasant']"
55,55,1865,802,UB2 5PU,51.500602,-0.383613,UB2 5HE,51.500364,-0.386546,0.21,0 days 00:20:00,2017-02-26 06:29:05,2017-02-26 06:49:05,2.74,,,,,,
56,56,852,1466,SE17 2JL,51.489486,-0.084366,TW1 4AT,51.444852,-0.333,17.98,0 days 00:27:00,2015-09-19 02:31:01,2015-09-19 02:58:01,14.29,,,,1.0,,
57,57,832,565,E16 4AF,51.517929,0.021745,SW18 5PH,51.444993,-0.208476,17.93,0 days 00:19:00,2015-05-12 06:16:40,2015-05-12 06:35:40,14.25,,,,,,
58,58,2294,1101,HA9 1AT,51.551185,-0.307236,SE1 3AD,51.495339,-0.077119,17.14,0 days 00:37:00,2018-01-20 09:04:12,2018-01-20 09:41:12,15.86,,,,5.0,,
59,59,792,431,SW16 4ND,51.401718,-0.126091,N11 2DE,51.608336,-0.123055,22.99,0 days 00:25:00,2010-06-14 23:43:44,2010-06-15 00:08:44,17.54,,,,5.0,,
60,60,460,3169,W7 3RQ,51.519766,-0.34628,WC2E 7DB,51.511744,-0.120542,15.7,0 days 00:16:00,2019-09-22 00:43:53,2019-09-22 00:59:53,12.8,5.0,,,,,
61,61,229,325,N20 2AL,51.629862,-0.173677,EN3 5EX,51.665104,-0.0324,10.54,0 days 00:20:00,2015-11-05 17:21:35,2015-11-05 17:41:35,7.27,3.0,,,,,
62,62,657,990,HA5 2UU,51.589665,-0.40358,EC1N 8TW,51.520234,-0.107191,21.96,0 days 00:32:00,2015-06-24 10:51:28,2015-06-24 11:23:28,12.98,4.0,,,,,
63,63,1978,384,EC1M 7AN,51.52296,-0.098386,UB4 8LW,51.533431,-0.427102,22.84,0 days 00:21:00,2010-07-28 18:28:29,2010-07-28 18:49:29,20.13,1.0,,,,,
64,64,252,2580,TW2 5NN,51.436975,-0.348912,W1U 2PQ,51.516561,-0.150352,16.39,0 days 00:17:00,2017-07-23 00:16:51,2017-07-23 00:33:51,13.25,,,,2.0,,
65,65,2358,1789,CR8 3DG,51.333271,-0.142837,HA4 7PQ,51.579071,-0.436207,34.11,0 days 00:49:00,2014-12-12 04:24:27,2014-12-12 05:13:27,24.77,,,,3.0,,
66,66,1896,3685,W3 0HX,51.517795,-0.285427,E5 8QA,51.560014,-0.057556,16.49,0 days 00:14:00,2017-04-13 12:23:04,2017-04-13 12:37:04,10.24,,,,,,
67,67,403,3431,NW3 4XN,51.547732,-0.161997,SW2 5LX,51.450218,-0.125128,11.15,0 days 00:14:00,2013-02-15 09:29:14,2013-02-15 09:43:14,11.36,,,,2.0,loud,
68,68,1037,1666,N9 7EB,51.626949,-0.058281,N22 4PY,51.603378,-0.113916,4.66,0 days 00:10:00,2010-12-06 01:08:29,2010-12-06 01:18:29,5.63,,,,1.0,,
69,69,1691,2312,N21 3WA,51.632901,-0.099455,KT2 7LX,51.428028,-0.272261,25.76,0 days 00:33:00,2016-11-10 07:26:53,2016-11-10 07:59:53,14.88,5.0,wonderful companion,"['great service', 'expert navigation']",,,
70,70,1311,1162,KT6 4DR,51.396175,-0.306035,SE16 5UL,51.498487,-0.032741,22.15,0 days 00:40:00,2012-02-01 23:02:02,2012-02-01 23:42:02,17.0,4.0,,,2.0,,
71,71,1237,3185,E4 8EQ,51.63325,0.008156,HA8 8XF,51.62831,-0.267075,19.07,0 days 00:41:00,2012-08-13 20:04:29,2012-08-13 20:45:29,11.54,,,,5.0,pleasant,"['quiet', 'neat and tidy', 'pleasant']"
72,72,558,1403,SE16 1HP,51.499795,-0.037252,W1F 9EH,51.511447,-0.136335,7.0,0 days 00:35:00,2018-02-17 20:42:10,2018-02-17 21:17:10,5.5,,,,1.0,,
73,73,1129,3115,BR5 3GD,51.406617,0.108453,KT4 7RQ,51.384599,-0.257973,25.62,0 days 00:21:00,2010-02-21 19:30:40,2010-02-21 19:51:40,22.22,1.0,,,,,
74,74,1253,3825,E6 3JB,51.52771,0.044193,E15 2TF,51.53642,-0.003607,3.46,0 days 00:07:00,2014-10-19 22:46:20,2014-10-19 22:53:20,4.85,,,,,,
75,75,613,3250,SW3 3SS,51.490249,-0.16925,NW3 5LS,51.552341,-0.175543,6.92,0 days 00:14:00,2013-09-14 15:32:40,2013-09-14 15:46:40,5.46,2.0,unpleasant companion,['unpleasant companion'],4.0,,
76,76,1222,2170,N12 8DS,51.61289,-0.182143,SW3 9DR,51.463241,-0.139336,16.91,0 days 00:26:00,2015-08-20 07:17:44,2015-08-20 07:43:44,10.46,4.0,,,,,
77,77,942,3173,HA0 2QJ,51.559365,-0.327042,SE21 7WH,51.436412,-0.087163,21.56,0 days 00:23:00,2011-01-14 05:33:29,2011-01-14 05:56:29,16.61,4.0,,,5.0,,
78,78,523,1804,SW1V 2HP,51.488882,-0.136132,WC2N 4BE,51.509781,-0.127137,2.41,0 days 00:15:00,2012-03-30 21:04:49,2012-03-30 21:19:49,3.2,,,,4.0,,
79,79,1373,3055,SE16 3YQ,51.492762,-0.080152,N6 6NZ,51.565764,-0.149539,9.44,0 days 00:26:00,2016-07-05 17:27:13,2016-07-05 17:53:13,6.72,5.0,expert navigation,"['great service', 'nice car', 'wonderful companion', 'neat and tidy', 'recommend', 'expert navigation']",,,
80,80,1709,3981,E11 2QF,51.572046,0.021779,SE20 7PW,51.415206,-0.053734,18.22,0 days 00:28:00,2015-11-30 02:31:18,2015-11-30 02:59:18,14.44,,,,,,
81,81,631,2378,E11 4LW,51.559831,0.003102,EC3A 7QE,51.515974,-0.080228,7.57,0 days 00:25:00,2017-04-02 02:52:04,2017-04-02 03:17:04,7.52,,,,4.0,,
82,82,1013,3974,BR6 6ET,51.352103,0.095322,SE5 9PN,51.473776,-0.096544,19.01,0 days 00:41:00,2016-07-27 20:44:46,2016-07-27 21:25:46,11.5,,,,,,
83,83,1244,1015,CR3 1BL,51.30059,-0.117991,BR1 4BL,51.40846,0.00446,14.72,0 days 00:29:00,2017-12-23 19:25:08,2017-12-23 19:54:08,14.04,,,,5.0,,
84,84,2374,1325,HA0 3XS,51.551185,-0.307236,W1S 1BY,51.51458,-0.144523,12.0,0 days 00:22:00,2010-01-19 18:55:32,2010-01-19 19:17:32,12.0,3.0,awful service,"['dirty', 'non-expert navigation']",5.0,,
85,85,2028,2870,E15 4BW,51.541126,0.003131,SW19 5PD,51.439027,-0.218235,19.12,0 days 00:35:00,2013-07-21 13:21:26,2013-07-21 13:56:26,11.56,,,,1.0,,
86,86,1520,433,KT3 3EF,51.411058,-0.2728,N16 0BE,51.563635,-0.081395,21.56,0 days 00:19:00,2011-07-03 17:08:09,2011-07-03 17:27:09,12.78,5.0,,,4.0,,
87,87,1107,307,NW11 7UN,51.580631,-0.198817,HA3 8TJ,51.593871,-0.314066,8.12,0 days 00:19:00,2012-09-21 15:38:58,2012-09-21 15:57:58,6.06,,,,4.0,,
88,88,214,4470,N7 0JH,51.550458,-0.129678,EC2N 2LQ,51.514999,-0.086106,4.97,0 days 00:08:00,2011-06-20 05:45:05,2011-06-20 05:53:05,5.83,,,,5.0,,
89,89,809,2595,SE18 6HX,51.490486,0.067477,E3 4WU,51.53023,-0.028907,8.02,0 days 00:11:00,2013-02-22 18:38:15,2013-02-22 18:49:15,9.02,5.0,,,4.0,,
90,90,651,3388,TW9 3AQ,51.483149,-0.295411,TW5 9SS,51.479751,-0.406081,7.7,0 days 00:20:00,2017-09-26 00:46:48,2017-09-26 01:06:48,7.6,,,,,,
91,91,1125,1544,WC2E 8PL,51.512066,-0.123238,NW6 1RE,51.551101,-0.191906,6.45,0 days 00:18:00,2011-08-14 12:11:10,2011-08-14 12:29:10,5.22,,,,3.0,unpleasant,
92,92,1243,3331,SW14 8HT,51.469629,-0.263836,WC1A 1HT,51.516595,-0.129279,10.71,0 days 00:16:00,2013-08-14 06:04:24,2013-08-14 06:20:24,9.56,,,,5.0,,
93,93,787,3308,HA1 2BU,51.583835,-0.328496,N9 0FR,51.623313,-0.046185,20.05,0 days 00:26:00,2017-11-01 08:00:48,2017-11-01 08:26:48,18.04,5.0,neat and tidy,[],5.0,neat and tidy,['pleasant']
94,94,1067,3812,IG1 8EW,51.55807,0.072373,W1S 2YG,51.511447,-0.142561,15.79,0 days 00:18:00,2013-02-11 21:34:29,2013-02-11 21:52:29,9.9,,,,,,
95,95,1524,4050,E4 6QS,51.627332,-0.004445,W1X 6LY,51.510355,-0.145732,16.29,0 days 00:23:00,2015-06-01 18:41:14,2015-06-01 19:04:14,15.22,,,,,,
96,96,604,248,TW2 7JA,51.451536,-0.364477,TW10 7AJ,51.445031,-0.302285,4.38,0 days 00:06:00,2011-04-18 04:23:47,2011-04-18 04:29:47,5.45,3.0,,,5.0,,
97,97,594,79,UB8 1PR,51.557264,-0.473019,NW10 6SY,51.526974,-0.257807,15.31,0 days 00:30:00,2019-04-13 20:37:44,2019-04-13 21:07:44,9.66,4.0,great service,"['neat and tidy', 'recommend', 'nice car', 'great service', 'expert navigation', 'wonderful companion']",5.0,,
98,98,2499,884,TW5 9US,51.48026,-0.41443,SW2 3PH,51.441491,-0.11088,21.53,0 days 00:35:00,2013-05-29 10:21:57,2013-05-29 10:56:57,12.76,,,,,,
99,99,1363,4392,W9 3JA,51.52906,-0.198834,UB4 0LP,51.509831,-0.399512,14.09,0 days 00:11:00,2011-03-29 23:51:36,2011-03-30 00:02:36,11.76,,,,5.0,,
100,100,1028,2948,CR0 6UH,51.37611,-0.088988,SW1P 9DA,51.481026,-0.135804,12.12,0 days 00:14:00,2012-03-11 18:46:32,2012-03-11 19:00:32,12.09,,,,,,
101,101,1125,2266,SW16 5TE,51.4176,-0.136861,NW10 6WX,51.533954,-0.248298,15.08,0 days 00:27:00,2010-08-20 17:28:26,2010-08-20 17:55:26,9.54,,,,,,
102,102,315,2280,SW19 8WE,51.417014,-0.213582,W1A 3BF,51.517133,-0.134244,12.43,0 days 00:14:00,2018-04-06 05:11:53,2018-04-06 05:25:53,10.68,,,,5.0,,
103,103,1052,801,E17 5UA,51.596359,-0.028226,RM6 5NS,51.582211,0.140735,11.82,0 days 00:17:00,2011-11-09 14:33:42,2011-11-09 14:50:42,7.91,,,,,,
104,104,1461,1333,EC1N 2LN,51.517194,-0.110517,EN5 4GA,51.657128,-0.20819,16.98,0 days 00:21:00,2012-03-10 13:09:24,2012-03-10 13:30:24,10.49,,,,,,
105,105,1450,3715,SW3 4XA,51.489946,-0.164293,NW5 2DR,51.54838,-0.136932,6.77,0 days 00:09:00,2011-01-05 10:32:15,2011-01-05 10:41:15,5.38,,,,4.0,,
106,106,1413,250,W1M 5FT,51.517921,-0.15047,HA8 6SL,51.607281,-0.297409,14.24,0 days 00:12:00,2015-06-08 19:44:58,2015-06-08 19:56:58,13.68,,,,1.0,loud,
107,107,1111,2556,WC1V 6JS,51.518021,-0.119477,W10 6DH,51.521449,-0.222227,7.14,0 days 00:25:00,2012-12-25 19:24:20,2012-12-25 19:49:20,8.36,1.0,,,,,
108,108,47,1172,SE10 8QA,51.476384,-0.007756,N10 1WX,51.592195,-0.142849,15.93,0 days 00:22:00,2019-09-19 07:34:29,2019-09-19 07:56:29,9.96,,,,,,
109,109,86,1997,RM1 2DA,51.57052,0.184633,N4 1HE,51.579738,-0.099495,19.72,0 days 00:26:00,2019-12-13 14:20:00,2019-12-13 14:46:00,11.86,1.0,non-expert navigation,"['unpleasant companion', 'bad car', 'dirty', 'non-expert navigation', 'awful service', 'not recommend']",2.0,,
110,110,1500,2174,EC4Y 8DG,51.512762,-0.107256,NW1 2AU,51.527733,-0.129053,2.25,0 days 00:06:00,2015-10-31 03:23:33,2015-10-31 03:29:33,4.06,,,,5.0,polite,"['quiet', 'recommend']"
111,111,1576,1678,EC3M 5PD,51.524503,-0.112088,SE6 3ND,51.427222,-0.030164,12.23,0 days 00:11:00,2017-05-04 22:43:18,2017-05-04 22:54:18,10.55,,,,1.0,dirty,
112,112,1150,3211,W4 2NG,51.492335,-0.246955,E14 7GT,51.512192,-0.035984,14.81,0 days 00:11:00,2012-12-29 06:22:05,2012-12-29 06:33:05,12.23,,,,,,
113,113,34,104,SW6 2ER,51.477795,-0.189003,N20 0PX,51.625423,-0.176817,16.45,0 days 00:21:00,2013-07-06 23:50:56,2013-07-07 00:11:56,13.29,,,,5.0,,
114,114,30,1558,SW11 2XA,51.464567,-0.164692,E1 9AH,51.505777,-0.072083,7.9,0 days 00:28:00,2011-04-18 20:24:02,2011-04-18 20:52:02,5.95,3.0,,,,,
115,115,1815,1551,SE10 0EF,51.488873,0.006069,SE3 9AW,51.459739,0.019518,3.37,0 days 00:20:00,2019-04-11 16:18:04,2019-04-11 16:38:04,3.68,,,,,,
116,116,1431,3710,NW10 4AR,51.540924,-0.250785,WC1A 9JP,51.524565,-0.112042,9.8,0 days 00:26:00,2018-03-23 20:45:06,2018-03-23 21:11:06,6.9,,,,,,
117,117,1371,878,W1S 2PH,51.512333,-0.14398,W13 0UF,51.510966,-0.3237,12.48,0 days 00:23:00,2012-03-24 17:14:03,2012-03-24 17:37:03,8.24,,,,4.0,pleasant,"['neat and tidy', 'recommend', 'pleasant']"
118,118,1981,3107,KT4 7NW,51.385431,-0.252236,UB10 8YF,51.563492,-0.448731,24.06,0 days 00:36:00,2010-12-24 17:01:02,2010-12-24 17:37:02,14.03,,,,,,
119,119,1554,1887,SE11 6EL,51.493898,-0.115802,SE7 7LA,51.482437,0.029407,10.17,0 days 00:17:00,2013-11-18 02:19:50,2013-11-18 02:36:50,9.21,,,,,,
120,120,2189,1130,N11 3NB,51.617439,-0.160121,NW2 3HJ,51.55571,-0.215669,7.87,0 days 00:18:00,2013-11-16 15:56:01,2013-11-16 16:14:01,5.94,5.0,,,,,
121,121,989,1325,N22 6UY,51.596975,-0.110485,SW2 3JF,51.437213,-0.113819,17.78,0 days 00:26:00,2014-02-25 07:10:52,2014-02-25 07:36:52,10.89,,,,5.0,,
122,122,2278,1740,SE24 9ZN,51.452054,-0.09785,SE6 3BL,51.43669,-0.021009,5.61,0 days 00:10:00,2016-12-04 10:08:13,2016-12-04 10:18:13,4.8,,,,3.0,,
123,123,1963,258,WC1R 4JT,51.519299,-0.117276,NW4 1EY,51.596005,-0.215693,10.93,0 days 00:20:00,2013-01-21 18:05:26,2013-01-21 18:25:26,11.2,,,,4.0,,
124,124,314,3328,HA9 9NZ,51.567543,-0.277034,KT1 9SR,51.40772,-0.305939,17.89,0 days 00:27:00,2015-02-28 07:51:56,2015-02-28 08:18:56,10.94,,,,4.0,,
125,125,128,3486,SE26 5BA,51.426682,-0.033899,W1D 5ES,51.512424,-0.130473,11.66,0 days 00:24:00,2011-06-25 08:48:42,2011-06-25 09:12:42,11.74,3.0,bad car,[],,,
126,126,236,3187,NW9 8UT,51.581566,-0.260844,RM2 6LX,51.587243,0.203119,32.16,0 days 00:39:00,2018-11-02 16:39:23,2018-11-02 17:18:23,18.08,1.0,,,5.0,quiet,"['quiet', 'pleasant']"
127,127,614,97,CR9 1BX,51.378069,-0.113291,N10 1DL,51.59791,-0.14946,24.59,0 days 00:27:00,2010-05-12 08:08:24,2010-05-12 08:35:24,21.44,,,,,,
128,128,891,2869,SE6 1SJ,51.437742,-0.007208,BR3 5HT,51.408053,-0.005925,3.3,0 days 00:08:00,2019-01-30 22:00:10,2019-01-30 22:08:10,4.74,1.0,dirty,"['unpleasant companion', 'awful service', 'dirty', 'bad car', 'non-expert navigation', 'not recommend']",,,
129,129,2198,2927,W14 0RP,51.493559,-0.210707,SW19 4LX,51.416343,-0.216787,8.6,0 days 00:16:00,2016-05-18 14:57:43,2016-05-18 15:13:43,6.3,,,,,,
130,130,418,1696,SW15 2WR,51.460362,-0.218599,SE25 6RL,51.401745,-0.08825,11.17,0 days 00:30:00,2016-02-08 08:55:10,2016-02-08 09:25:10,11.38,,,,,,
131,131,1864,3378,TW3 1XJ,51.465252,-0.360201,N22 6SD,51.594248,-0.098095,23.17,0 days 00:28:00,2016-05-02 08:57:52,2016-05-02 09:25:52,20.38,,,,,,
132,132,2253,2039,W5 4HX,51.500794,-0.310443,W2 1WY,51.516375,-0.175251,9.54,0 days 00:26:00,2013-12-19 13:44:10,2013-12-19 14:10:10,6.77,,,,3.0,not recommend,
